Title,Accession number,Author,Author affiliation,Corresponding author(s),Source,Abbreviated source title,Sponsor,Publisher/Repository,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Fully Distributed Cooperative Multi-agent Underwater Obstacle Avoidance","20254019260710","Yao, Kanzhong (1); Marjanovic, Ognjen (1); Watson, Simon (1) ","(1) The University of Manchester, Manchester, United Kingdom ","Watson, Simon(simon.watson@manchester.ac.uk)","Lecture Notes in Computer Science","Lect. Notes Comput. Sci.","","Springer Science and Business Media Deutschland GmbH","16045 LNAI","","367-380","2026","Towards Autonomous Robotic Systems - 26th Annual Conference, TAROS 2025, Proceedings","","1 of 1","2026","English","03029743","16113349","","9783032014856","10.1007/978-3-032-01486-3_28","","26th Annual Conference on Towards Autonomous Robotic Systems, TAROS 2025","August 20, 2025 - August 22, 2025","York, United kingdom","338759","","Conference article (CA)","Navigation in cluttered underwater environments is challenging, especially when there are constraints on communication and self-localisation, and there is clutter in the environment. In this paper, we first studied the connection between everyday activity of dog walking and the cooperative underwater obstacle avoidance problem. Inspired by this analogy, we propose a novel dog walking paradigm and implement it in a multi-agent underwater system. Simulations were conducted across various scenarios, with performance benchmarked against traditional methods utilising Image-Based Visual Servoing in a multi-agent setup. The results indicate that our dog-walking-inspired paradigm significantly enhances cooperative behavior between agents and outperforms the existing approach in navigating through obstacles. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","24","Multi agent systems","Air navigation - Behavioral research - Collision avoidance - Intelligent agents - Visual servoing","Aquatic robot - Co-operative behaviors - Image based visual servoing - Multi agent - Obstacles avoidance - Performance - Self localization - Underwater environments - Underwater systems","101.5 Ergonomics and Human Factors Engineering - 435.1.1 Air Navigation and Traffic Control - 731.5 Robotics - 914.1 Accidents and Accident Prevention - 971 Social Sciences - 1101 Artificial Intelligence - 1106.9 Computer Software","Number: -, Acronym: UoM, Sponsor: University of Manchester; Number: EP/T011491/1, Acronym: EPSRC, Sponsor: Engineering and Physical Sciences Research Council; Number: -, Acronym: EPSRC, Sponsor: Engineering and Physical Sciences Research Council; ","This work was supported by Chinese Scholarship Council-University of Manchester joint programme. The authors acknowledge the support provided by EPSRC (Hot Robotics: EP/T011491/1) and the Robotics and AI Collaboration (RAICo).","All Open Access, Green","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"A Multi-AUV Assisted Diver Communication Scheme Based on Multi-Agent Reinforcement Learning","20253519052432","Deng, Tinglong (1); Tao, Hang (1); Dong, Peijun (1); Wang, Xinxiang (1); Yu, Zhibin (2); Luo, Hanjiang (1) ","(1) College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China (2) College of Electronic Engineering, Ocean University of China, Qingdao, China ","Luo, Hanjiang(hjluo@sdust.edu.cn)","Proceedings of the 37th Chinese Control and Decision Conference, CCDC 2025","Proc. Chin. Control Decis. Conf., CCDC","IEEE Control Systems Society (CSS); Northeastern University; State Key Laboratory of Synthetical Automation for Process Industries; Technical Committee on Control Theory, Chinese Association of Automation","Institute of Electrical and Electronics Engineers Inc.","","","1079-1084","2025","Proceedings of the 37th Chinese Control and Decision Conference, CCDC 2025","","1 of 1","2025","English","","","","9798331510565","10.1109/CCDC65474.2025.11090204","","37th Chinese Control and Decision Conference, CCDC 2025","May 16, 2025 - May 19, 2025","Xiamen, China","211055","","Conference article (CA)","As underwater human activities are increasing, the demand for underwater communication service presents a significant challenge. Existing underwater diver communication methods face hurdles due to inherent disadvantages and complex underwater environments. To address this issue, we propose a multiple autonomous underwater vehicles (AUVs) cooperative control strategy based on multi-agent reinforcement learning (MARL), which utilizes the advantage of complementary opticalacoustic multi-modal communication and combines with a K medoids algorithm to attain reliable and high-speed communication between divers. We first model the optical and acoustic channels and analyze the optical and acoustic communication issue. Then, the K-medoids algorithm is used to cluster and simplify the coverage issue of AUVs for divers. Finally, based on centralized training and decentralized execution (CTDE) architecture, we map the cooperative movement process to a partially observable Markov decision process (POMDP) and propose a multi-AUV cooperative movement algorithm based on multi-agent proximal policy optimization (MAPPO). Through simulation verification, the proposed scheme can effectively achieve reliable and highspeed communication between divers. © 2025 IEEE.","16","Autonomous underwater vehicles","Agriculture - Autonomous agents - Behavioral research - Cooperative communication - Intelligent agents - Learning algorithms - Markov processes - Multi agent systems - Optical communication - Optical signal processing - Underwater acoustic communication - Underwater acoustics","Autonomous underwater vehicles] - Diving assistance - High-speed communications - K-medoid algorithms - K-medoids algorithms - Multi-agent reinforcement learning - Multimodal communications - Optical- - Optical-acoustic multi-modal communication - Underwater networks","101.5 Ergonomics and Human Factors Engineering - 674.1 Small Marine Craft - 716 Telecommunication; Radar, Radio and Television - 717.1 Optical Communication Systems - 751.1 Acoustic Waves - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 971 Social Sciences - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1103.3 Data Communication, Equipment and Techniques - 1106.9 Computer Software - 1202.1 Probability Theory","Number: U24A20215,62072287, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: ZR2022LZH001, Acronym: -, Sponsor: Natural Science Foundation of Shandong Province; Number: -, Acronym: -, Sponsor: Natural Science Foundation of Shandong Province; ","This work was supported in part by the project ZR2024MF024 supported by Shandong Provincial Natural Science Foundation, in part by the National Natural Science Foundation of China under Grant U24A20215 and 62072287, in part by the Natural Science Foundation of Shandong Province for Innovation and Development Joint Funds, China, under Grant ZR2022LZH001.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Enhancing Intrusion Detection Systems with Deep Learning and Machine Learning Algorithms for Real-Time Threat Classification","20251218101649","Kadri, Farooque (1); Singla, Priyanka (2) ","(1) Odyssey Cloud, Pune, India (2) Bpit, Delhi, India ","","Proceedings of the International Conference on Multi-Agent Systems for Collaborative Intelligence, ICMSCI 2025","Proc. Int. Conf. Multi-Agent Syst. Collab. Intell., ICMSCI","","Institute of Electrical and Electronics Engineers Inc.","","","957-963","2025","Proceedings of the International Conference on Multi-Agent Systems for Collaborative Intelligence, ICMSCI 2025","","1 of 1","2025","English","","","","9798331509828","10.1109/ICMSCI62561.2025.10894403","","2025 International Conference on Multi-Agent Systems for Collaborative Intelligence, ICMSCI 2025","January 20, 2025 - January 22, 2025","Erode, India","207270","","Conference article (CA)","Computer network intrusion has surged dramatically over the past decade, fueled by a lucrative underground cybercrime economy and the proliferation of sophisticated tools for executing such attacks. For over forty years, researchers from both industry and academia have been developing methods and systems to detect and prevent these security breaches. Machine learning (ML) techniques have emerged as a powerful tool among the various methods used to classify normal and abnormal behavior. This study presents an advanced preprocessing strategy combined with a comprehensive evaluation of traditional machine learning models and a deep neural network (DNN) for real-time network intrusion detection. Preprocessing includes univariate analysis, feature selection, outlier handling, data normalization, and PCA-based dimensionality reduction. Further, the dataset was divided into train and test sets in the ratio 80:20. Traditional models GB, DT, and ET have been tested; however, ET performs better than all concerning accuracy, precision, recall, Fl score, and kappa. The proposed DNN model further enhanced detection capabilities, achieving the highest metrics across all evaluation parameters, including an AUC of 1.00, an accuracy of 99.50% and the lowest misclassification rate. The performance of both traditional and deep learning models was assessed using precision, recall, kappa, accuracy, Fl score, ROC curve analysis, and confusion matrices. The results indicate that the proposed approach is efficient for real-time network intrusion detection and threat analysis. © 2025 IEEE.","19","Network intrusion","Adversarial machine learning - Contrastive Learning - Deep learning - Dimensionality reduction - Feature Selection - Intrusion detection","ET - Features selection - Intrusion Detection Systems - Intrusion-Detection - Machine learning algorithms - Network intrusion detection - Neural-networks - PCA - Real time network - Real- time","1101.2 Machine Learning - 1101.2.1 Deep Learning - 1105 Computer Networks - 1108.1 Cybersecurity",,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Dynamic Fire Response in Railway Construction Scenarios:Collaborative Control Optimization of Worker Evacuation and Equipment Rescue Based on Multi-Agent DRL with Adaptive Path Planning","20253819184005","Zeng, Xiaoqing (1); Chen, Li (1); Chen, Hong (2); Zhu, Mingchang (1); Guo, Yexin (1); Li, Zaiqi (1) ","(1) Tongji University, The Key Laboratory of Road and Traffic Engineering, Ministry of Education, Shanghai, China (2) Shanghai Urban Construction Design and Research Institute (Group) Co, Ltd, Shanghai, China ","Chen, Li","Proceedings - 2025 IEEE 16th International Symposium on Autonomous Decentralized Systems, ISADS 2025","Proc. - IEEE Int. Symp. Auton. Decentralized Syst., ISADS","","Institute of Electrical and Electronics Engineers Inc.","","","94-101","2025","Proceedings - 2025 IEEE 16th International Symposium on Autonomous Decentralized Systems, ISADS 2025","","1 of 1","2025","English","","","","9798331589196","10.1109/ISADS66912.2025.00018","","16th IEEE International Symposium on Autonomous Decentralized Systems, ISADS 2025","July 21, 2025 - July 24, 2025","Tucson, AZ, United states","211625","","Conference article (CA)","This study focuses on the critical problem of simultaneous worker evacuation and equipment rescue during fire emergencies in high-speed rail beam yards. We propose an A3C-based multi-agent deep reinforcement learning framework with adaptive path planning, integrating dynamic obstacles modeling to simulate real-time fire spread and enabling decentralized training under limited field-of-view perception. Addressing the limitation of existing studies that focus on either evacuation or rescue, our model dynamically coordinates both by enabling agents to learn collision-free paths in a shared environment. Experiments show that the proposed approach enables real-time path adjustment, achieves over 85% success in dual-task execution, and offers greater robustness to fire spread uncertainties than traditional methods. Key contributions include: (1) A novel integration of dynamic obstacle modeling and decentralized multi-agent A3C training is proposed to enhance adaptability to real-world fire scenarios; (2) A dual-objective emergency strategy balancing human safety and equipment protection is optimized. © 2025 IEEE.","26","Multi agent systems","Construction equipment - Deep learning - Deep reinforcement learning - Emergency services - Fire protection - Fires - Intelligent agents - Motion planning - Railroad transportation - Railroads - Rails","Adaptive path planning - Emergency response - Fire emergencies - Fire emergency response - High speed rail - High-speed rail beam yard - Multi agent - Multi-agent deep reinforcement learning - Rail beams - Reinforcement learnings","405.1 Construction Equipment - 433 Rail Transportation - 681 Railway Plant and Structures - 914.1 Accidents and Accident Prevention - 914.2 Fires and Fire Protection - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1101.2.1 Deep Learning - 1106.9 Computer Software",,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Hamilton's Rule for Enabling Altruism in Multi-Agent Systems","20261020228584","Butler, Brooks A. (1); Egerstedt, Magnus (1) ","(1) University of California, Department of Electrical Engineering and Computer Science, Irvine, United States ","Butler, Brooks A.(bbutler2@uci.edu)","Proceedings of the IEEE Conference on Decision and Control","Proc IEEE Conf Decis Control","Franklin Open; MathWorks; Mitsubishi Electric Research Laboratories; Quanser; Society for Industrial and Applied Mathematics (SIAM); Springer","Institute of Electrical and Electronics Engineers Inc.","","","6776-6783","2025","2025 IEEE 64th Conference on Decision and Control, CDC 2025","","1 of 1","2025","English","07431546","25762370","","9798331526276","10.1109/CDC57313.2025.11312615","","64th IEEE Conference on Decision and Control, CDC 2025","December 9, 2025 - December 12, 2025","Rio de Janeiro, Brazil","218842","PCDCDZ","Conference article (CA)","This paper explores the application of Hamilton's rule to altruistic decision-making in multi-agent systems. Inspired by biological altruism, we introduce a framework that evaluates when individual agents should incur costs to benefit their neighbors. By adapting Hamilton's rule, we define agent 'fitness'in terms of task productivity rather than genetic survival. We formalize altruistic decision-making through a graph-based model of multi-agent interactions and propose a solution using collaborative control Lyapunov functions. The approach ensures that altruistic behaviors contribute to the collective goal-reaching efficiency of the system. We illustrate this framework on a multi-agent way-point navigation problem, where we show through simulation how agent importance levels influence altruistic decision-making, leading to improved coordination in navigation tasks. © 2025 IEEE.","35","Multi agent systems","Computational methods - Decision making - Graphic methods - Intelligent agents","Altruistic behavior - Collaborative control - Control Lyapunov function - Control-Lyapunov functions - Decisions makings - Graph-based models - Hamilton's rule - Individual agent - Multi-agent interaction - Multiagent systems (MASs)","902.1 Engineering Graphics - 912.2 Management - 1101 Artificial Intelligence - 1106.9 Computer Software - 1201.5 Computational Mathematics","Number: -, Acronym: AFRL, Sponsor: Air Force Research Laboratory; Number: -, Acronym: ORISE, Sponsor: Oak Ridge Institute for Science and Education; Number: -, Acronym: DNI, Sponsor: Office of the Director of National Intelligence; Number: -, Acronym: ERDA, Sponsor: U.S. Department of Energy; Number: -, Acronym: UCI, Sponsor: University of California, Irvine; Number: FA8651-24-2-0001, Acronym: -, Sponsor: -; ","This research was supported in part by an appointment to the Intelligence Community Postdoctoral Research Fellowship Program at the University of California, Irvine, administered by Oak Ridge Institute for Science and Education (ORISE) through an interagency agreement between the U.S. Department of Energy and the Office of the Director of National Intelligence (ODNI). This work is also sponsored in part by the Air Force Research Laboratory, Munitions Directorate (RWTA), Eglin AFB, FL (Award No. FA8651-24-2-0001). Opinions, findings and conclusions, or recommendations are those of the authors and do not necessarily reflect the views of the sponsoring agencies.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"A Multi-Agent system for addressing cybersecurity issues in social networks","20254519445165","Garcia, Antonella C. (1, 2, 5); Martinez, Maria Vanina (4); Deagustini, Cristhian A. D. (1, 5); Simari, Gerardo I. (2, 3, 4) ","(1) Fac. de Cs. de la Administración, Universidad Nacional de Entre Ríos (UNER), Argentina (2) Departamento de Ciencias e Ingeniería de la Computación, Universidad Nacional Del sur (UNS), Argentina (3) Instituto de Ciencias e Ingeniería de la Computación (UNS-CONICET), Argentina (4) Artificial Intelligence Research Institute (IIIA-CSIC), Bellaterra, Spain (5) Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina ","Garcia, Antonella C.(antonella.garcia@uner.edu.ar)","CEUR Workshop Proceedings","CEUR Workshop Proc.","","CEUR-WS","4069","","51-60","2025","FCAI 2025 - Proceedings of the Workshop on Foundations and Future of Change in Artificial Intelligence, co-located with the 28th European Conference on Artificial Intelligence, ECAI 2025","","1 of 1","2025","English","16130073","","","","","","2025 Workshop on Foundations and Future of Change in Artificial Intelligence, FCAI 2025","October 25, 2025 - October 30, 2025","Bologna, Italy","213874","","Conference article (CA)","Constant interaction on social networks shapes individual decisions and behaviors, influencing both mental and social well-being. To address the complex and adversarial nature of these environments-marked by phenomena such as cyberbullying, grooming, and hate speech-This work examines the design of belief revision operators for processing streaming information within a multi-Agent framework. Using the HEIST framework for hybrid socio-Technical systems, we explore two knowledge dynamics operators: A cautious operator, which promotes stability in belief updates, and a credulous operator, which favors adaptability and rapid assimilation of new information. These operators define distinct reasoning behaviors for interacting agents engaged in continuous, dynamic, uncertain, and potentially adversarial information flows. © 2025 Copyright for this paper by its authors.","17","Multi agent systems","Cybersecurity - Intelligent agents - Social networking (online)","Belief revision - Cyber bullying - Cyber security - Multiagent framework - Multiagent systems (MASs) - Revision operator - Social platform - Social well-being - Sociotechnical systems - Stream reasonings","1101 Artificial Intelligence - 1106 Computer Software, Data Handling and Applications - 1106.9 Computer Software - 1108.1 Cybersecurity","","This work was funded in part by Universidad Nacional del Sur (UNS) under grant PGI 24/ZN057, Secretaria de Investigacion Cientifica y Tecnologica FCEN-UBA (RESCS-2020-345-E-UBA-REC), Universidad Nacional de Entre Rios under grant PDTS-UNER 7066, CONICET under the grant PIP (11220200101408CO), and Agencia Nacional de Promocion Cientifica y Tecnologica, Argentina under grants PICT-2018-0475 (PRH-2014-0007) and PICT-2020 SERIE A-01481.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Multi-Agent Based Simulation Verification Method for Ship Equipment Suitability","20251418182497","Yang, Jingli (1); Wang, Ying (1); Fang, Xiaotong (2); Deng, Chenli (2) ","(1) School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China (2) China Institute of Marine Technology and Economy, Beijing, China ","","ICSMD 2024 - 5th International Conference on Sensing, Measurement and Data Analytics in the Era of Artificial Intelligence","ICSMD - Int. Conf. Sens., Meas. Data Anal. Era Artif. Intell.","","Institute of Electrical and Electronics Engineers Inc.","","","","2024","ICSMD 2024 - 5th International Conference on Sensing, Measurement and Data Analytics in the Era of Artificial Intelligence","","1 of 1","2024","English","","","","9798331529192","10.1109/ICSMD64214.2024.10920551","","5th International Conference on Sensing, Measurement and Data Analytics in the Era of Artificial Intelligence, ICSMD 2024","October 31, 2024 - November 3, 2024","No.139 Qiyun Avenue, Tunxi District, Mount Huangshan, Huangshan, China","207725","","Conference article (CA)","In the ever-changing environment of modern naval operations, precise evaluation of the suitability of ship equipment is crucial for formulating effective operational decisions. However, due to the complexity of the operational environment and the variability of the systems themselves, traditional evaluation methods are no longer sufficient to meet modern demands. To address this issue, this paper proposes a multi-agent based simulation verification method for ship equipment suitability. Utilizing the AnyLogic simulation platform, this method constructs an evaluation model that simulates the constituent elements of ship equipment and their dynamic behaviors, enabling in-depth analysis of factors affecting the operational adaptability of ship equipment. The model developed in this study not only provides quantitative and qualitative assessments of the suitability of ship equipment but also offers robust scientific support for the formulation and optimization of operational strategies. It boasts high accuracy and comprehensiveness, better adapting to the complexities of modern naval operations. © 2024 IEEE.","7","Ship simulators","Boat equipment - Ship instruments - Warships","Changing environment - Equipment suitability assessment - Multi agent - Multi agent based simulations - Multi agent-based simulations - Naval operations - Ship systems - Simulation model - Simulation verification - Verification method","671.2 Ship Equipment - 671.3 Ship Models - 672.1 Combat Naval Vessels - 674.1 Small Marine Craft - 1201.12 Modeling and Simulation",,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Can curiosity enhance the quality of on-demand delivery services?","20250417746379","Yoshioka, Riku (1); Moriyama, Koichi (1); Sakurai, Yuko (1) ","(1) Nagoya Institute of Technology, Nagoya, Japan ","Yoshioka, Riku(clz14144@ict.nitech.ac.jp)","Proceedings - 2024 IEEE International Conference on Agents, ICA 2024","Proc. - IEEE Int. Conf. Agents, ICA","","Institute of Electrical and Electronics Engineers Inc.","","","50-55","2024","Proceedings - 2024 IEEE International Conference on Agents, ICA 2024","","1 of 1","2024","English","","","","9798331539917","10.1109/ICA63002.2024.00019","","2024 IEEE International Conference on Agents, ICA 2024","December 4, 2024 - December 6, 2024","Wollongong, NSW, Australia","205503","","Conference article (CA)","In this paper, we use multi-agent reinforcement learning to analyze how drivers' behavioral policies in on-demand delivery services (ODS) affect the service's overall revenue and other aspects. Specifically, we perform simulations using agents built with two reinforcement learning frameworks, Proximal Policy Optimization (PPO) and Random Network Distillation (RND), to analyze the effect of the existence of drivers who, although seemingly irrational, prefer to find new stores by exploring areas they have not visited before. In addition, this paper employs a design in which each driver has a separate learning model, which allows each driver to adopt different behavior patterns and search strategies, thus enabling a variety of searches throughout the system. Simulation experiments were conducted to evaluate the performance of the system in three different scenarios with different supply-demand balances. The results showed that the presence of curious drivers increased revenues, and this was especially true in situations where the number of orders relative to that of drivers was high. This suggests that when designing a behavioral policy for drivers in ODS, factors that promote exploratory behavior are important. © 2024 IEEE.","21","Deep reinforcement learning","Adversarial machine learning - Behavioral research - Contrastive Learning - Federated learning - Learning systems - Multi agent systems - Quality of service - Reinforcement learning - Transfer learning","Curiosity-driven exploration - Delivery service - Learning frameworks - Multi agent - Multi-agent deep reinforcement learning - Multi-agent reinforcement learning - On demands - On-demand delivery service - Policy optimization - Reinforcement learnings","101.5 Ergonomics and Human Factors Engineering - 913.3 Quality Assurance and Control - 971 Social Sciences - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1101.2.1 Deep Learning","Number: JP21K19833,JP24K01112, Acronym: JSPS, Sponsor: Japan Society for the Promotion of Science; ","This work was partially supported by JSPS KAKENHI Grant Numbers JP21K19833 and JP24K01112.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Learning Strategy Representation for Imitation Learning in Multi-Agent Games","20251918367761","Lei, Shiqi (1); Lee, Kanghoon (2); Li, Linjing (1, 3); Park, Jinkyoo (2) ","(1) Institute of Automation, Chinese Academy of Sciences (CASIA), China (2) Korea Advanced Institute of Science and Technology (KAIST), Korea, Republic of (3) Beijing Wenge Technology Co., Ltd., China ","Park, Jinkyoo(jinkyoo.park@kaist.ac.kr)","Proceedings of the AAAI Conference on Artificial Intelligence","Proc. AAAI Conf. Artif. Intell.","Association for the Advancement of Artificial Intelligence","Association for the Advancement of Artificial Intelligence","39","17","18163-18171","April 11, 2025","","Special Track on AI Alignment","17 of 28","2025","English","21595399","23743468","157735897X","9781577358978","10.1609/aaai.v39i17.33998","","39th Annual AAAI Conference on Artificial Intelligence, AAAI 2025","February 25, 2025 - March 4, 2025","Philadelphia, PA, United states","208400","","Conference article (CA)","The offline datasets for imitation learning (IL) in multi-agent games typically contain player trajectories exhibiting diverse strategies, which necessitate measures to prevent learning algorithms from acquiring undesirable behaviors. Learning representations for these trajectories is an effective approach to depicting the strategies employed by each demonstrator. However, existing learning strategies often require player identification or rely on strong assumptions, which are not appropriate for multi-agent games. Therefore, in this paper, we introduce the Strategy Representation for Imitation Learning (STRIL) framework, which (1) effectively learns strategy representations in multi-agent games, (2) estimates proposed indicators based on these representations, and (3) filters out sub-optimal data using the indicators. STRIL is a plug-in method that can be integrated into existing IL algorithms. We demonstrate the effectiveness of STRIL across competitive multi-agent scenarios, including Two-player Pong, Limit Texas Hold'em, and Connect Four. Our approach successfully acquires strategy representations and indicators, thereby identifying dominant trajectories and significantly enhancing existing IL performance across these environments. Copyright © 2025, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","37","Learning algorithms","Algebra","Effective approaches - Imitation learning - Learn+ - Learning frameworks - Learning strategy - Multi agent - Multi-agent games - Offline - Optimal data - Plug-ins","1101.2 Machine Learning - 1201.1 Algebra and Number Theory","Number: -, Acronym: NRF, Sponsor: National Research Foundation of Korea; Number: 72293575, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: RS-2024-00410082, Acronym: -, Sponsor: -; ","This work was supported in part by the National Natural Science Foundation of China under Grants 72293575, as well as by the National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIT) (No. RS-2024-00410082)","All Open Access, Gold","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Investigating Driving Interactions: A Robust Multi-Agent Simulation Framework for Autonomous Vehicles","20243116784776","Kaufeld, Marc (1, 2); Trauth, Rainer (2, 3); Betz, Johannes (1, 2) ","(1) Autonomous Vehicle Systems, Technical University Of Munich, Garching; 85748, Germany (2) Munich Institute Of Robotics And Machine Intelligence (MIRMI), Germany (3) The Institute Of Automotive Technology, Technical University Of Munich, Garching; 85748, Germany ","Kaufeld, Marc","IEEE Intelligent Vehicles Symposium, Proceedings","IEEE Intell Veh Symp Proc","IEEE Intelligent Transportation Systems Society (ITSS)","Institute of Electrical and Electronics Engineers Inc.","","","803-810","2024","35th IEEE Intelligent Vehicles Symposium, IV 2024","","1 of 1","2024","English","19310587","26427214","","9798350348811","10.1109/IV55156.2024.10588423","","35th IEEE Intelligent Vehicles Symposium, IV 2024","June 2, 2024 - June 5, 2024","38 Sinhwayeoksa-ro 304 beon-gil, Andeok-myeon Seogwipo-si, Jeju Island, Korea, Republic of","201102","","Conference article (CA)","Current validation methods often rely on recorded data and basic functional checks, which may not be sufficient to encompass the scenarios an autonomous vehicle might encounter. In addition, there is a growing need for complex scenarios with changing vehicle interactions for comprehensive validation. This work introduces a novel synchronous multi-agent simulation framework for autonomous vehicles in interactive scenarios. Our approach creates an interactive scenario and incorporates publicly available edge-case scenarios wherein simulated vehicles are replaced by agents navigating to predefined destinations. We provide a platform that enables the integration of different autonomous driving planning methodologies and includes a set of evaluation metrics to assess autonomous driving behavior. Our study explores different planning setups and adjusts simulation complexity to test the framework's adaptability and performance. Results highlight the critical role of simulating vehicle interactions to enhance autonomous driving systems. Our setup offers unique insights for developing advanced algorithms for complex driving tasks to accelerate future investigations and developments in this field. The multi-agent simulation framework is available as open-source software: https://github.com/TUM-AVS/Frenetix-Motion-Planner © 2024 IEEE.","36","Autonomous vehicles","Air navigation - Autonomous agents - Multi agent systems - Open source software - Open systems","'current - Autonomous driving - Autonomous Vehicles - Benchmark testing - Multi agent - Multi-agents simulations - Simulation - Simulation framework - Trajectory Planning - Vehicle interactions","431.5 Air Navigation and Traffic Control - 432 Highway Transportation - 723 Computer Software, Data Handling and Applications - 731.6 Robot Applications","Number: -, Acronym: TUM, Sponsor: Technische Universit&auml;t M&uuml;nchen; Number: -, Acronym: -, Sponsor: Bayerische Forschungsstiftung; Number: -, Acronym: BfS, Sponsor: Bundesamt f&uuml;r Strahlenschutz; ","They gratefully acknowledge the financial support from the Technical University of Munich and the Bavarian Research Foundation (BFS)","All Open Access, Green","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
